gisjoin,name_dp,var_code,dp,name_sf,sf
G06017267,C-Road CDP,IFE003,77,C-Road CDP,29
G06017274,Crockett CDP,IFE003,0,Crockett CDP,203
G06017288,Cromberg CDP,IFE003,0,Cromberg CDP,67
G06017372,Crowley Lake CDP,IFE003,1,Crowley Lake CDP,132
G06017428,Crows Landing CDP,IFE003,0,Crows Landing CDP,22
G06017498,Cudahy city,IFE003,382,Cudahy city,163
G06017568,Culver City city,IFE003,699,Culver City city,712
G06017610,Cupertino city,IFE003,63,Cupertino city,846
G06017708,Cutler CDP,IFE003,31,Cutler CDP,51
G06017722,Cutten CDP,IFE003,210,Cutten CDP,68
G06017727,Cuyama CDP,IFE003,0,Cuyama CDP,10
G06017750,Cypress city,IFE003,1067,Cypress city,414
G06017918,Daly City city,IFE003,3888,Daly City city,1498
G06017946,Dana Point city,IFE003,1437,Dana Point city,1756
G06017988,Danville town,IFE003,495,Danville town,514
G06017995,Daphnedale Park CDP,IFE003,0,Daphnedale Park CDP,7
G06018030,Darwin CDP,IFE003,0,Darwin CDP,18
G06018086,Davenport CDP,IFE003,0,Davenport CDP,16
G06018100,Davis city,IFE003,1139,Davis city,996
G06018153,Day Valley CDP,IFE003,241,Day Valley CDP,86
G06018324,Deer Park CDP,IFE003,0,Deer Park CDP,121
G06018352,Del Aire CDP,IFE003,52,Del Aire CDP,137
G06018394,Delano city,IFE003,629,Delano city,453
G06018450,Delft Colony CDP,IFE003,0,Delft Colony CDP,13
G06018464,Delhi CDP,IFE003,484,Delhi CDP,174
G06018485,Delleker CDP,IFE003,17,Delleker CDP,63
G06018506,Del Mar city,IFE003,0,Del Mar city,532
G06018590,Del Monte Forest CDP,IFE003,362,Del Monte Forest CDP,886
G06018674,Del Rey CDP,IFE003,0,Del Rey CDP,16
G06018688,Del Rey Oaks city,IFE003,1,Del Rey Oaks city,40
G06018695,Del Rio CDP,IFE003,31,Del Rio CDP,30
G06018856,Denair CDP,IFE003,142,Denair CDP,72
G06018926,Derby Acres CDP,IFE003,0,Derby Acres CDP,21
G06018940,Descanso CDP,IFE003,0,Descanso CDP,111
G06018982,Desert Center CDP,IFE003,0,Desert Center CDP,55
G06018986,Desert Edge CDP,IFE003,1071,Desert Edge CDP,1523
G06018996,Desert Hot Springs city,IFE003,3619,Desert Hot Springs city,2252
G06019022,Desert Palms CDP,IFE003,240,Desert Palms CDP,951
G06019024,Desert Shores CDP,IFE003,66,Desert Shores CDP,77
G06019052,Desert View Highlands CDP,IFE003,218,Desert View Highlands CDP,86
G06019150,Diablo CDP,IFE003,0,Diablo CDP,27
G06019155,Diablo Grande CDP,IFE003,0,Diablo Grande CDP,115
G06019192,Diamond Bar city,IFE003,1827,Diamond Bar city,575
G06019220,Diamond Springs CDP,IFE003,582,Diamond Springs CDP,342
G06019262,Dillon Beach CDP,IFE003,237,Dillon Beach CDP,293
G06019318,Dinuba city,IFE003,32,Dinuba city,275
G06019339,Discovery Bay CDP,IFE003,806,Discovery Bay CDP,701
G06019402,Dixon city,IFE003,288,Dixon city,316
G06019406,Dixon Lane-Meadow Creek CDP,IFE003,0,Dixon Lane-Meadow Creek CDP,107
G06019416,Dobbins CDP,IFE003,19,Dobbins CDP,62
G06019440,Dogtown CDP,IFE003,0,Dogtown CDP,75
G06019455,Dollar Point CDP,IFE003,1336,Dollar Point CDP,1251
G06019570,Dorrington CDP,IFE003,990,Dorrington CDP,1395
G06019584,Dorris city,IFE003,0,Dorris city,50
G06019612,Dos Palos city,IFE003,0,Dos Palos city,199
G06019654,Dos Palos Y CDP,IFE003,0,Dos Palos Y CDP,23
G06019724,Douglas City CDP,IFE003,0,Douglas City CDP,107
G06019766,Downey city,IFE003,1420,Downey city,1665
G06019794,Downieville CDP,IFE003,0,Downieville CDP,78
G06019878,Doyle CDP,IFE003,0,Doyle CDP,57
G06019976,Drytown CDP,IFE003,0,Drytown CDP,8
G06019990,Duarte city,IFE003,11,Duarte city,241
G06020018,Dublin city,IFE003,866,Dublin city,869
G06020032,Ducor CDP,IFE003,0,Ducor CDP,12
G06020228,Dunnigan CDP,IFE003,0,Dunnigan CDP,54
G06020242,Dunsmuir city,IFE003,133,Dunsmuir city,347
G06020270,Durham CDP,IFE003,0,Durham CDP,129
G06020284,Dustin Acres CDP,IFE003,0,Dustin Acres CDP,28
