gisjoin,name_dp,var_code,dp,name_sf,sf
G56000680,Albany CDP,H7X001,43,Albany CDP,55
G56000825,Albin town,H7X001,84,Albin town,181
G56001115,Alcova CDP,H7X001,67,Alcova CDP,76
G56001695,Alpine town,H7X001,747,Alpine town,828
G56001888,Alpine Northeast CDP,H7X001,201,Alpine Northeast CDP,196
G56001936,Alpine Northwest CDP,H7X001,149,Alpine Northwest CDP,244
G56001985,Alta CDP,H7X001,370,Alta CDP,394
G56002877,Antelope Hills CDP,H7X001,108,Antelope Hills CDP,97
G56002900,Antelope Valley-Crestview CDP,H7X001,1706,Antelope Valley-Crestview CDP,1658
G56003000,Arapahoe CDP,H7X001,1653,Arapahoe CDP,1656
G56003245,Arlington CDP,H7X001,14,Arlington CDP,25
G56003652,Arrowhead Springs CDP,H7X001,42,Arrowhead Springs CDP,63
G56003725,Arvada CDP,H7X001,78,Arvada CDP,43
G56004015,Atlantic City CDP,H7X001,74,Atlantic City CDP,37
G56004160,Auburn CDP,H7X001,415,Auburn CDP,328
G56004740,Baggs town,H7X001,428,Baggs town,440
G56004885,Bairoil town,H7X001,171,Bairoil town,106
G56005245,Bar Nunn town,H7X001,2078,Bar Nunn town,2213
G56005320,Basin town,H7X001,1163,Basin town,1285
G56005625,Bear River town,H7X001,530,Bear River town,518
G56006045,Bedford CDP,H7X001,131,Bedford CDP,201
G56006407,Bessemer Bend CDP,H7X001,150,Bessemer Bend CDP,199
G56006480,Beulah CDP,H7X001,52,Beulah CDP,73
G56006770,Big Horn CDP,H7X001,480,Big Horn CDP,490
G56007060,Big Piney town,H7X001,471,Big Piney town,552
G56008365,Bondurant CDP,H7X001,32,Bondurant CDP,93
G56009235,Boulder CDP,H7X001,135,Boulder CDP,170
G56009307,Boulder Flats CDP,H7X001,358,Boulder Flats CDP,408
G56010175,Brookhurst CDP,H7X001,182,Brookhurst CDP,185
G56010685,Buffalo city,H7X001,4510,Buffalo city,4585
G56011120,Burlington town,H7X001,238,Burlington town,288
G56011265,Burns town,H7X001,240,Burns town,301
G56011700,Byron town,H7X001,574,Byron town,593
G56012860,Carpenter CDP,H7X001,142,Carpenter CDP,94
G56013005,Carter CDP,H7X001,32,Carter CDP,10
G56013150,Casper city,H7X001,54587,Casper city,55316
G56013222,Casper Mountain CDP,H7X001,401,Casper Mountain CDP,401
G56013440,Centennial CDP,H7X001,217,Centennial CDP,270
G56013900,Cheyenne city,H7X001,58303,Cheyenne city,59466
G56014097,Chugcreek CDP,H7X001,216,Chugcreek CDP,156
G56014165,Chugwater town,H7X001,120,Chugwater town,212
G56015325,Clearmont town,H7X001,96,Clearmont town,142
G56015400,Clearview Acres CDP,H7X001,858,Clearview Acres CDP,795
G56015760,Cody city,H7X001,9468,Cody city,9520
G56015905,Cokeville town,H7X001,415,Cokeville town,535
G56017210,Cora CDP,H7X001,90,Cora CDP,142
G56017645,Cowley town,H7X001,537,Cowley town,655
G56018225,Crowheart CDP,H7X001,198,Crowheart CDP,141
G56018950,Daniel CDP,H7X001,141,Daniel CDP,150
G56019385,Dayton town,H7X001,563,Dayton town,757
G56019530,Deaver town,H7X001,167,Deaver town,178
G56020110,Diamondville town,H7X001,810,Diamondville town,737
G56020690,Dixon town,H7X001,177,Dixon town,97
G56021125,Douglas city,H7X001,5902,Douglas city,6120
G56021415,Dubois town,H7X001,812,Dubois town,971
G56022720,East Thermopolis town,H7X001,186,East Thermopolis town,254
G56023010,Eden CDP,H7X001,200,Eden CDP,281
G56023155,Edgerton town,H7X001,345,Edgerton town,195
G56024025,Elk Mountain town,H7X001,151,Elk Mountain town,191
G56024750,Encampment town,H7X001,470,Encampment town,450
