gisjoin,name_dp,var_code,dp,name_sf,sf
G3205100,Carson City,H7Z012,38,Carson City,51
G3200010,Churchill County,H7Z013,112,Churchill County,138
G3200030,Clark County,H7Z013,5777,Clark County,5690
G3200050,Douglas County,H7Z013,105,Douglas County,137
G3200070,Elko County,H7Z013,286,Elko County,308
G3200090,Esmeralda County,H7Z013,2,Esmeralda County,0
G3200110,Eureka County,H7Z013,46,Eureka County,5
G3200130,Humboldt County,H7Z013,54,Humboldt County,64
G3200150,Lander County,H7Z013,32,Lander County,45
G3200170,Lincoln County,H7Z013,21,Lincoln County,4
G3200190,Lyon County,H7Z013,197,Lyon County,225
G3200210,Mineral County,H7Z013,49,Mineral County,76
G3200230,Nye County,H7Z013,93,Nye County,111
G3200270,Pershing County,H7Z013,33,Pershing County,44
G3200290,Storey County,H7Z013,16,Storey County,7
G3200310,Washoe County,H7Z013,1438,Washoe County,1427
G3200330,White Pine County,H7Z013,29,White Pine County,35
G3205100,Carson City,H7Z013,200,Carson City,210
G3200010,Churchill County,H7Z014,3,Churchill County,32
G3200030,Clark County,H7Z014,3717,Clark County,3710
G3200050,Douglas County,H7Z014,23,Douglas County,26
G3200070,Elko County,H7Z014,35,Elko County,8
G3200090,Esmeralda County,H7Z014,0,Esmeralda County,0
G3200110,Eureka County,H7Z014,0,Eureka County,0
G3200130,Humboldt County,H7Z014,2,Humboldt County,12
G3200150,Lander County,H7Z014,0,Lander County,1
G3200170,Lincoln County,H7Z014,14,Lincoln County,2
G3200190,Lyon County,H7Z014,26,Lyon County,24
G3200210,Mineral County,H7Z014,6,Mineral County,4
G3200230,Nye County,H7Z014,72,Nye County,25
G3200270,Pershing County,H7Z014,1,Pershing County,0
G3200290,Storey County,H7Z014,4,Storey County,0
G3200310,Washoe County,H7Z014,494,Washoe County,502
G3200330,White Pine County,H7Z014,1,White Pine County,1
G3205100,Carson City,H7Z014,45,Carson City,42
G3200010,Churchill County,H7Z015,4,Churchill County,10
G3200030,Clark County,H7Z015,1188,Clark County,1154
G3200050,Douglas County,H7Z015,16,Douglas County,6
G3200070,Elko County,H7Z015,22,Elko County,7
G3200090,Esmeralda County,H7Z015,0,Esmeralda County,0
G3200110,Eureka County,H7Z015,0,Eureka County,0
G3200130,Humboldt County,H7Z015,10,Humboldt County,1
G3200150,Lander County,H7Z015,7,Lander County,0
G3200170,Lincoln County,H7Z015,0,Lincoln County,1
G3200190,Lyon County,H7Z015,0,Lyon County,6
G3200210,Mineral County,H7Z015,0,Mineral County,0
G3200230,Nye County,H7Z015,19,Nye County,32
G3200270,Pershing County,H7Z015,5,Pershing County,0
G3200290,Storey County,H7Z015,7,Storey County,3
G3200310,Washoe County,H7Z015,213,Washoe County,184
G3200330,White Pine County,H7Z015,4,White Pine County,1
G3205100,Carson City,H7Z015,0,Carson City,10
G3200010,Churchill County,H7Z016,1140,Churchill County,1158
G3200030,Clark County,H7Z016,258871,Clark County,258787
G3200050,Douglas County,H7Z016,1417,Douglas County,1442
G3200070,Elko County,H7Z016,5015,Elko County,4990
G3200090,Esmeralda County,H7Z016,51,Esmeralda County,51
G3200110,Eureka County,H7Z016,78,Eureka County,100
G3200130,Humboldt County,H7Z016,2066,Humboldt County,2083
